Date,Oil_rate,Water_cut,Gas_rate,Tubing_Pressure,Casing_Pressure,Choke_size
2017-05-10,1265.62,0.2631,621.5,1891.01,2461.87,24
2017-05-11,1246.23,0.2671,696.72,2106.98,2440.67,24
2017-05-12,1199.82,0.2381,663.5,2052.74,2467.2,24
2017-05-13,1219.78,0.2741,557.97,2000.52,2485.4,24
2017-05-14,1233.33,0.2838,602.9,2026.39,2347.11,24
2017-05-15,1207.09,0.2647,645.65,2055.68,2435.45,24
2017-05-16,1174.12,0.2342,709.6,2037.38,2530.82,24
2017-05-17,1226.73,0.2238,671.75,2027.94,2499.41,24
2017-05-18,1168.87,0.2634,661.43,2010.75,2377.41,24
2017-05-19,1186.63,0.2599,581.3,2051.3,2530.4,24
2017-05-20,1178.7,0.2503,494.87,2036.07,2544.75,24
2017-05-21,1172.87,0.2483,625.41,1991.55,2463.24,24
2017-05-22,1200.54,0.2902,569.74,1971.05,2534.65,24
2017-05-23,1193.47,0.2803,662.74,2089.86,2391.92,24
2017-05-24,1224.31,0.2676,747.06,2011.47,2464.57,24
2017-05-25,1217.04,0.2338,670.25,2041.45,2371.76,24
2017-05-26,1174.25,0.2233,588.54,2003.89,2483.42,24
2017-05-27,1183.42,0.2521,673.45,2031.56,2406.96,24
2017-05-28,1165.9,0.2464,624.81,2126.56,2434.28,24
2017-05-29,1177.42,0.2599,560.67,2015.07,2471.58,24
2017-05-30,1175.75,0.2703,741.27,1997.49,2435.43,24
2017-05-31,1179.33,0.3274,556.91,1955.94,2410.02,24
2017-06-01,1194.51,0.2501,584.46,2017.36,2617.42,24
2017-06-02,1152.24,0.2562,560.06,2025.85,2458.49,24
2017-06-03,1214.68,0.2748,569.83,2118.0,2498.59,24
2017-06-04,1150.76,0.2213,525.61,1939.46,2487.88,24
2017-06-05,1200.64,0.2067,608.63,2042.06,2618.28,24
2017-06-06,1211.79,0.2794,663.82,2087.56,2494.55,24
2017-06-07,1181.11,0.2744,540.67,2023.56,2461.51,24
2017-06-08,1197.24,0.2302,493.7,2072.25,2578.86,24
2017-06-09,1148.24,0.2884,526.03,2071.34,2473.69,24
2017-06-10,1147.51,0.2775,584.42,1928.25,2528.67,24
2017-06-11,1197.67,0.2934,609.34,2039.08,2604.22,24
2017-06-12,1154.9,0.2682,714.51,2122.77,2501.38,24
2017-06-13,1169.77,0.2391,571.0,2058.37,2639.81,24
2017-06-14,1249.71,0.2744,524.63,2091.46,2576.17,24
2017-06-15,1156.98,0.277,578.51,2126.44,2618.61,24
2017-06-16,1142.41,0.2875,655.0,2159.26,2552.99,24
2017-06-17,1157.59,0.2527,574.68,2099.08,2533.97,24
2017-06-18,1157.1,0.2601,651.56,2118.57,2362.15,24
2017-06-19,1164.58,0.256,630.29,2095.97,2536.03,24
2017-06-20,1182.03,0.2798,558.22,2114.5,2457.24,24
2017-06-21,1145.85,0.2681,588.74,2063.04,2544.0,24
2017-06-22,1124.46,0.2342,576.1,2113.22,2592.39,24
2017-06-23,1160.66,0.2979,543.29,2079.46,2549.7,24
2017-06-24,1146.98,0.2283,553.86,2164.97,2626.29,24
2017-06-25,1101.63,0.2809,509.41,2131.2,2657.54,24
2017-06-26,1121.49,0.2506,518.11,2165.76,2473.24,24
2017-06-27,1070.87,0.2438,511.45,2118.71,2688.15,24
2017-06-28,1151.87,0.2399,579.47,2130.78,2580.33,24
2017-06-29,1166.42,0.2689,548.59,2107.09,2509.83,24
2017-06-30,1136.19,0.2756,563.16,2175.54,2636.45,24
2017-07-01,1127.55,0.2899,623.33,2183.59,2793.07,24
2017-07-02,1171.02,0.2477,617.35,2257.25,2656.93,24
2017-07-03,1097.15,0.2448,483.98,2226.02,2597.18,24
2017-07-04,1178.9,0.244,678.75,2158.16,2752.99,24
2017-07-05,1091.17,0.2318,600.12,2119.65,2700.47,24
2017-07-06,1125.18,0.2563,501.6,2192.97,2600.66,24
2017-07-07,1176.75,0.2789,572.25,2211.25,2628.67,24
2017-07-08,1153.76,0.3069,579.34,2167.38,2748.91,24
2017-07-09,1111.56,0.2618,543.74,2282.88,2790.22,24
2017-07-10,1107.03,0.2514,516.75,2221.47,2783.64,24
2017-07-11,1150.52,0.2728,568.27,2244.57,2765.22,24
2017-07-12,1121.8,0.253,560.33,2218.42,2786.08,24
2017-07-13,1110.22,0.26,619.49,2246.01,2740.35,24
2017-07-14,1154.22,0.2671,587.75,2248.33,2669.0,24
2017-07-15,1109.94,0.295,570.46,2210.24,2744.19,24
2017-07-16,1096.61,0.2748,470.25,2306.37,2780.12,24
2017-07-17,1111.28,0.2593,555.72,2334.19,2772.48,24
2017-07-18,1094.96,0.2563,505.27,2271.1,2707.78,24
2017-07-19,1143.22,0.299,531.96,2236.56,2849.68,24
2017-07-20,1110.75,0.2545,513.87,2213.62,2820.13,24
2017-07-21,1139.93,0.2741,465.34,2288.3,2832.91,24
2017-07-22,1107.5,0.2741,585.51,2218.05,2637.57,24
2017-07-23,1129.63,0.2628,583.55,2170.1,2883.65,24
2017-07-24,1113.04,0.2552,633.38,2262.13,2938.09,24
2017-07-25,1109.35,0.2667,606.46,2306.34,2856.63,24
2017-07-26,1093.36,0.2932,591.68,2262.96,2835.56,24
2017-07-27,1116.51,0.2502,524.83,2242.28,2789.56,24
2017-07-28,1118.75,0.2721,594.46,2265.96,2808.64,24
2017-07-29,1108.24,0.2308,601.35,2288.76,2831.17,24
2017-07-30,1125.84,0.2626,537.46,2265.27,2927.03,24
2017-07-31,1104.87,0.2686,535.35,2213.58,2745.2,24
2017-08-01,1059.36,0.296,572.66,2244.08,2706.39,24
2017-08-02,1120.25,0.2493,587.58,2277.44,2828.44,24
2017-08-03,1118.24,0.2432,510.23,2303.79,2758.63,24
2017-08-04,1046.17,0.2891,640.78,2333.82,2823.36,24
2017-08-05,1111.32,0.2525,681.2,2416.81,2785.68,24
2017-08-06,1095.44,0.2425,570.54,2314.43,2863.8,24
2017-08-07,1085.4,0.2596,600.41,2246.13,2759.25,24
2017-08-08,1111.56,0.2561,417.03,2229.03,2738.37,24
2017-08-09,1068.74,0.3005,382.71,2333.62,2831.26,24
2017-08-10,1071.9,0.2691,599.47,2325.86,2857.34,24
2017-08-11,1077.24,0.2585,542.89,2302.85,2817.66,24
2017-08-12,1087.11,0.2734,626.7,2333.66,2776.37,24
2017-08-13,1071.59,0.2774,514.16,2338.08,2725.94,24
2017-08-14,1089.19,0.2421,487.63,2257.95,2967.2,24
2017-08-15,1052.95,0.2814,480.75,2320.25,2746.42,24
2017-08-16,1058.54,0.2484,564.8,2308.65,2899.66,24
2017-08-17,1065.84,0.2708,415.07,2342.69,2860.99,24
2017-08-18,1119.58,0.2784,550.22,2251.74,2831.64,24
2017-08-19,1077.34,0.2537,446.64,2260.75,2843.86,24
2017-08-20,1049.78,0.2769,489.8,2309.36,2833.79,24
2017-08-21,1084.79,0.2773,546.36,2336.16,2761.49,24
2017-08-22,1079.97,0.2509,516.75,2256.73,2747.97,24
2017-08-23,1044.85,0.2595,523.9,2238.22,2777.71,24
2017-08-24,1069.0,0.2717,505.07,2407.6,2862.08,24
2017-08-25,1046.91,0.2687,491.72,2340.73,2740.68,24
2017-08-26,1022.58,0.273,527.66,2287.24,2698.88,24
2017-08-27,1054.46,0.29,503.2,2146.66,2807.48,24
2017-08-28,1047.47,0.2676,546.64,2287.76,2792.25,24
2017-08-29,1079.01,0.2491,517.36,2265.3,2853.53,40
2017-08-30,1062.62,0.2398,549.33,2132.39,2791.35,40
2017-08-31,1074.49,0.2654,583.94,2179.69,2767.48,40
2017-09-01,1045.87,0.2626,544.65,2333.51,2793.52,40
2017-09-02,1072.3,0.2719,509.84,2248.05,2810.0,40
2017-09-03,1026.03,0.242,512.85,2292.58,2891.45,40
2017-09-04,1093.17,0.2814,523.16,2189.71,2817.96,40
2017-09-05,1061.79,0.2477,576.34,2177.74,2767.78,40
2017-09-06,1068.31,0.2724,445.86,2277.91,2745.18,40
2017-09-07,1077.27,0.2461,675.72,2348.95,2748.61,40
2017-09-08,1059.23,0.2723,550.74,2254.47,2760.98,40
2017-09-09,1059.71,0.2836,478.45,2316.29,2845.21,40
2017-09-10,1050.72,0.2672,517.49,2190.43,2735.74,40
2017-09-11,1065.14,0.2515,552.06,2230.68,2685.35,40
2017-09-12,1023.93,0.2861,472.76,2236.41,2720.26,40
2017-09-13,1051.19,0.2395,630.69,2292.81,2709.03,40
2017-09-14,1045.58,0.2716,508.46,2226.52,2798.57,40
2017-09-15,1077.37,0.2847,651.45,2189.21,2763.45,40
2017-09-16,1024.85,0.3097,439.11,2282.29,2734.79,40
2017-09-17,949.92,0.2146,397.74,2134.32,2765.98,40
2017-09-18,1050.85,0.2674,654.87,2227.05,2796.9,40
2017-09-19,1007.64,0.272,480.11,2209.38,2802.13,40
2017-09-20,1077.37,0.2785,572.1,2188.19,2780.22,40
2017-09-21,1003.3,0.3062,406.44,2250.92,2702.73,40
2017-09-22,1031.4,0.2855,487.56,2210.84,2756.44,40
2017-09-23,1036.86,0.2861,396.87,2139.43,2711.39,40
2017-09-24,982.85,0.2526,466.63,2129.81,2652.18,40
2017-09-25,984.71,0.2628,506.69,2183.95,2650.99,40
2017-09-26,1030.87,0.2486,498.05,2233.12,2605.45,40
2017-09-27,1034.36,0.2482,514.92,2154.8,2645.33,40
2017-09-28,1046.32,0.3013,482.5,2121.69,2672.86,40
2017-09-29,1052.17,0.278,624.05,2209.96,2669.55,40
2017-09-30,1031.14,0.2739,426.29,2217.41,2589.34,40
2017-10-01,1034.69,0.28,532.12,2122.31,2535.78,40
2017-10-02,1045.51,0.2715,543.01,2046.22,2639.58,40
2017-10-03,1021.07,0.2938,489.22,2125.29,2623.66,40
2017-10-04,1036.79,0.2924,617.36,2137.62,2647.62,40
2017-10-05,993.08,0.2589,430.82,2131.91,2523.44,40
2017-10-06,1032.71,0.2787,445.81,2061.14,2501.37,40
2017-10-07,1050.48,0.2587,407.08,2120.99,2553.82,40
2017-10-08,1045.14,0.2742,533.35,2082.24,2538.68,40
2017-10-09,1011.34,0.298,625.79,2070.66,2605.29,40
2017-10-10,1076.11,0.2662,529.21,2068.01,2559.67,40
2017-10-11,1039.46,0.3,544.6,2044.6,2630.27,40
2017-10-12,1016.09,0.2682,519.05,2028.32,2450.73,40
2017-10-13,1015.51,0.2764,527.34,2090.18,2632.19,40
2017-10-14,1031.04,0.2576,663.62,2091.72,2473.94,40
2017-10-15,992.47,0.2568,477.48,2029.86,2532.45,40
2017-10-16,1024.93,0.2934,491.01,2004.74,2627.19,40
2017-10-17,1064.61,0.2556,542.56,2086.54,2501.33,40
2017-10-18,1063.5,0.2819,524.64,2094.39,2612.81,40
2017-10-19,1071.77,0.3017,531.87,2032.31,2380.39,40
2017-10-20,1034.28,0.2699,553.4,1999.69,2432.81,40
2017-10-21,1050.05,0.2292,457.18,2091.76,2484.73,40
2017-10-22,1037.09,0.2664,486.34,2087.89,2473.61,40
2017-10-23,1050.55,0.3126,560.81,2041.59,2424.53,40
2017-10-24,1089.54,0.2713,555.46,2017.72,2354.92,40
2017-10-25,1014.07,0.2907,571.79,2067.64,2439.94,40
2017-10-26,1027.84,0.2668,509.9,2068.49,2475.28,40
2017-10-27,984.14,0.2777,510.42,1943.23,2520.38,40
2017-10-28,1018.56,0.2646,452.88,1945.52,2458.41,40
2017-10-29,1055.36,0.3041,367.72,1992.44,2544.66,40
2017-10-30,1039.31,0.2991,475.45,1995.06,2505.98,40
2017-10-31,1020.22,0.2352,451.53,1967.36,2518.05,40
2017-11-01,1059.11,0.2729,542.14,2028.01,2444.62,40
2017-11-02,1035.72,0.2575,548.41,2017.18,2397.12,40
2017-11-03,1041.69,0.25,498.51,2079.72,2438.57,40
2017-11-04,1039.14,0.2491,491.71,2058.64,2485.87,40
2017-11-05,1013.76,0.3001,460.56,2006.99,2396.8,40
2017-11-06,1070.31,0.3014,527.76,1938.56,2558.92,40
2017-11-07,1051.39,0.2587,679.72,2058.95,2412.14,40
2017-11-08,1083.09,0.245,479.49,2010.85,2372.88,40
2017-11-09,1065.87,0.2677,515.96,1873.53,2362.07,40
2017-11-10,1068.49,0.2556,537.16,2015.06,2370.61,40
2017-11-11,1033.5,0.3004,556.31,1869.16,2418.14,40
2017-11-12,1040.82,0.2568,454.99,1905.96,2482.98,40
2017-11-13,1036.31,0.3095,585.31,2069.4,2381.45,40
2017-11-14,995.51,0.2674,509.75,2069.63,2356.9,40
2017-11-15,1042.56,0.2773,559.21,2008.62,2454.59,40
2017-11-16,1018.69,0.2852,521.54,2014.69,2477.43,40
2017-11-17,1015.57,0.2788,428.45,1915.78,2439.75,40
2017-11-18,1041.52,0.2758,468.54,1950.4,2398.56,40
2017-11-19,1055.89,0.2982,520.53,1953.26,2468.51,40
2017-11-20,1014.87,0.2925,477.9,1961.15,2445.56,40
2017-11-21,991.85,0.2673,486.56,2047.02,2351.46,40
2017-11-22,1071.0,0.2851,505.7,1971.75,2442.15,40
2017-11-23,1081.78,0.2912,596.48,1987.92,2327.91,40
2017-11-24,1039.79,0.2616,601.11,1870.88,2481.29,40
2017-11-25,1011.9,0.3143,508.29,1986.33,2508.27,40
2017-11-26,1054.99,0.2739,490.16,2099.04,2325.29,40
2017-11-27,1052.94,0.2764,618.64,1976.84,2364.02,40
2017-11-28,1068.73,0.2792,579.18,2055.34,2406.32,40
2017-11-29,1062.85,0.2608,512.88,1982.74,2421.33,40
2017-11-30,1101.54,0.308,512.72,1967.76,2180.33,40
2017-12-01,1082.65,0.2959,614.78,2131.71,2585.79,40
2017-12-02,1020.84,0.2731,490.79,1999.16,2393.95,40
2017-12-03,1019.36,0.2988,513.38,2024.8,2477.95,40
2017-12-04,1042.54,0.2888,584.67,2031.72,2307.56,40
2017-12-05,1102.09,0.2876,602.87,2031.28,2613.19,40
2017-12-06,1108.99,0.2813,500.61,2084.74,2449.04,40
2017-12-07,1058.17,0.2798,514.88,2053.12,2554.91,40
2017-12-08,1102.51,0.2701,490.28,2084.97,2526.08,40
2017-12-09,1071.63,0.2632,500.81,2106.29,2569.58,40
2017-12-10,1069.22,0.3022,522.12,2144.98,2390.64,40
2017-12-11,1042.99,0.2711,486.48,2074.01,2647.61,40
2017-12-12,1059.61,0.2773,597.89,2118.88,2433.84,40
2017-12-13,1049.99,0.2679,543.82,2050.42,2506.68,40
2017-12-14,1080.03,0.3043,556.53,2051.56,2637.61,40
2017-12-15,1063.54,0.2599,503.94,2105.32,2546.04,40
2017-12-16,1070.42,0.2644,589.03,2107.38,2439.63,40
2017-12-17,1096.22,0.2951,504.85,2173.85,2515.64,40
2017-12-18,1008.46,0.3104,441.96,2079.06,2474.31,40
2017-12-19,1002.95,0.2878,467.63,2042.79,2549.24,40
2017-12-20,1092.69,0.2836,493.15,2073.77,2418.14,40
2017-12-21,1065.81,0.2773,574.92,2153.91,2761.77,40
2017-12-22,1037.06,0.2826,398.3,2190.92,2608.64,40
2017-12-23,1052.32,0.3039,524.12,2057.67,2570.81,40
2017-12-24,1115.97,0.2958,481.83,2146.92,2569.93,40
2017-12-25,1094.43,0.2956,455.66,2130.87,2746.92,40
2017-12-26,1083.67,0.2994,425.98,2206.22,2523.16,40
2017-12-27,1071.92,0.2572,468.88,2130.54,2639.93,40
2017-12-28,1072.56,0.2895,505.37,2201.92,2491.38,40
2017-12-29,1030.73,0.3144,534.76,2112.01,2680.56,40
2017-12-30,1097.54,0.2831,507.1,2097.08,2627.96,44
2017-12-31,1083.04,0.3056,513.77,2148.58,2536.46,44
2018-01-01,1102.23,0.2667,507.73,2151.59,2715.74,44
2018-01-02,1030.46,0.2652,523.55,2131.23,2685.08,44
2018-01-03,1108.54,0.2931,679.65,2077.91,2566.32,44
2018-01-04,1049.17,0.259,453.27,2136.19,2605.74,44
2018-01-05,1039.53,0.2757,519.09,2194.07,2635.39,44
2018-01-06,1059.68,0.2741,521.78,2249.04,2713.16,44
2018-01-07,1128.13,0.2783,631.5,2177.14,2518.17,44
2018-01-08,1052.88,0.2962,548.85,2173.0,2821.44,44
2018-01-09,1029.99,0.2665,581.73,2177.52,2777.27,44
2018-01-10,1082.1,0.244,555.18,2232.44,2609.9,44
2018-01-11,1073.1,0.264,530.84,2210.48,2701.2,44
2018-01-12,1081.71,0.2537,551.94,2185.09,2632.98,44
2018-01-13,1047.41,0.2844,539.37,2202.27,2719.95,44
2018-01-14,1070.1,0.2774,483.42,2222.94,2782.01,44
2018-01-15,1076.46,0.3374,528.23,2259.91,2692.26,44
2018-01-16,1085.84,0.2967,524.59,2300.4,2658.33,44
2018-01-17,1098.49,0.2952,531.43,2190.12,2673.52,44
2018-01-18,1068.19,0.2924,530.33,2289.66,2740.07,44
2018-01-19,1049.54,0.2742,466.72,2153.13,2817.96,44
2018-01-20,1114.68,0.2801,571.64,2197.46,2730.55,44
2018-01-21,1112.58,0.2696,534.37,2247.67,2850.61,44
2018-01-22,1134.35,0.2918,646.78,2192.54,2790.27,44
2018-01-23,1088.43,0.292,531.4,2329.15,2885.48,44
2018-01-24,1120.96,0.2741,552.98,2220.11,2800.02,44
2018-01-25,1068.63,0.2731,563.97,2198.25,2816.85,44
2018-01-26,1099.92,0.3103,589.33,2211.31,2678.64,44
2018-01-27,1102.06,0.2663,610.45,2147.03,2836.6,44
2018-01-28,1109.08,0.3221,552.3,2281.31,2846.74,44
2018-01-29,1073.61,0.2984,508.72,2119.59,2695.81,44
2018-01-30,1103.42,0.2688,595.01,2320.1,2810.67,44
2018-01-31,1124.96,0.2684,572.59,2190.37,2894.96,44
2018-02-01,1105.71,0.2699,546.44,2256.26,2762.16,44
2018-02-02,1128.11,0.3069,429.42,2247.84,2789.54,44
2018-02-03,1097.54,0.2981,489.65,2270.74,2907.8,44
2018-02-04,1114.66,0.2981,690.58,2225.99,2743.56,44
2018-02-05,1082.72,0.2938,529.39,2249.86,2797.68,44
2018-02-06,1093.48,0.2537,574.37,2261.04,2822.19,44
2018-02-07,1072.54,0.2814,592.21,2214.33,2865.85,44
2018-02-08,1142.07,0.2657,512.81,2294.69,2801.36,44
2018-02-09,1101.45,0.2635,475.26,2278.0,2714.48,44
2018-02-10,1084.54,0.2695,623.43,2180.84,2931.0,44
2018-02-11,1130.33,0.2891,581.52,2289.21,2721.93,44
2018-02-12,1142.53,0.2778,671.44,2195.67,2869.52,44
2018-02-13,1041.54,0.3161,411.58,2187.48,2730.16,44
2018-02-14,1127.35,0.2837,557.56,2258.81,2814.38,44
2018-02-15,1102.16,0.2555,611.21,2183.21,2765.44,44
2018-02-16,1121.02,0.2738,498.69,2254.03,2869.42,44
2018-02-17,1074.91,0.2932,487.95,2189.79,2669.4,44
2018-02-18,1121.61,0.2625,631.82,2347.07,2783.4,44
2018-02-19,1169.74,0.2784,597.47,2243.8,2801.06,44
2018-02-20,1152.9,0.2898,564.51,2247.81,2693.62,44
2018-02-21,1156.22,0.2698,554.18,2344.12,2674.22,44
2018-02-22,1097.17,0.2687,487.52,2217.48,2934.88,44
2018-02-23,1151.69,0.2784,529.82,2192.18,2752.04,44
2018-02-24,1111.98,0.2826,578.22,2353.18,2719.62,44
2018-02-25,1130.49,0.3334,535.83,2165.74,2692.09,44
2018-02-26,1100.37,0.3168,699.27,2223.79,2782.15,44
